市县匹配键,特征值,特征数量,特征字段
梅州_兴宁,韻母,46,語音特徵大類
梅州_大埔,聲母,2,語音特徵大類
梅州_大埔,聲調,104,語音特徵大類
梅州_大埔,非語音特徵,57,語音特徵大類
梅州_大埔,韻母,43,語音特徵大類
梅州_平远,聲母,2,語音特徵大類
梅州_平远,聲調,19,語音特徵大類
梅州_平远,非語音特徵,31,語音特徵大類
梅州_平远,韻母,28,語音特徵大類
梅州_梅县,聲母,2,語音特徵大類
梅州_梅县,聲調,19,語音特徵大類
梅州_梅县,非語音特徵,32,語音特徵大類
梅州_梅县,韻母,29,語音特徵大類
梅州_梅江,聲母,2,語音特徵大類
梅州_梅江,聲調,19,語音特徵大類
梅州_梅江,非語音特徵,32,語音特徵大類
梅州_梅江,韻母,28,語音特徵大類
梅州_蕉岭,聲母,4,語音特徵大類
梅州_蕉岭,聲調,30,語音特徵大類
梅州_蕉岭,非語音特徵,58,語音特徵大類
梅州_蕉岭,韻母,47,語音特徵大類
汕头_南澳,聲母,2,語音特徵大類
汕头_南澳,聲調,1,語音特徵大類
汕头_南澳,非語音特徵,25,語音特徵大類
汕头_南澳,韻母,34,語音特徵大類
汕头_潮南,聲母,1,語音特徵大類
汕头_潮南,非語音特徵,10,語音特徵大類
汕头_潮南,韻母,19,語音特徵大類
汕头_潮阳,聲母,2,語音特徵大類
汕头_潮阳,非語音特徵,23,語音特徵大類
汕头_潮阳,韻母,30,語音特徵大類
汕头_澄海,聲母,2,語音特徵大類
汕头_澄海,非語音特徵,44,語音特徵大類
汕头_澄海,韻母,49,語音特徵大類
汕头_濠江,聲母,1,語音特徵大類
汕头_濠江,非語音特徵,10,語音特徵大類
汕头_濠江,韻母,19,語音特徵大類
汕头_金平,聲母,1,語音特徵大類
汕头_金平,非語音特徵,10,語音特徵大類
汕头_金平,韻母,19,語音特徵大類
汕头_龙湖,聲母,1,語音特徵大類
汕头_龙湖,非語音特徵,10,語音特徵大類
汕头_龙湖,韻母,19,語音特徵大類
汕尾_海丰,非語音特徵,6,語音特徵大類
汕尾_海丰,韻母,1,語音特徵大類
江门_台山,非語音特徵,1,語音特徵大類
江门_台山,韻母,1,語音特徵大類
江门_开平,聲母,1,語音特徵大類
江门_开平,聲調,2,語音特徵大類
江门_开平,非語音特徵,11,語音特徵大類
江门_开平,韻母,6,語音特徵大類
江门_恩平,韻母,1,語音特徵大類
江门_新会,聲調,7,語音特徵大類
江门_新会,非語音特徵,4,語音特徵大類
江门_新会,韻母,3,語音特徵大類
江门_江海,聲調,1,語音特徵大類
江门_江海,非語音特徵,2,語音特徵大類
江门_江海,韻母,2,語音特徵大類
江门_蓬江,聲調,1,語音特徵大類
江门_蓬江,非語音特徵,2,語音特徵大類
江门_蓬江,韻母,2,語音特徵大類
江门_鹤山,聲調,3,語音特徵大類
江门_鹤山,非語音特徵,6,語音特徵大類
江门_鹤山,韻母,5,語音特徵大類
河源_东源,非語音特徵,4,語音特徵大類
河源_东源,韻母,8,語音特徵大類
河源_和平,非語音特徵,4,語音特徵大類
河源_源城,非語音特徵,4,語音特徵大類
河源_源城,韻母,8,語音特徵大類
河源_紫金,非語音特徵,4,語音特徵大類
河源_连平,非語音特徵,3,語音特徵大類
河源_龙川,聲調,1,語音特徵大類
河源_龙川,非語音特徵,10,語音特徵大類
河源_龙川,韻母,2,語音特徵大類
深圳_光明,韻母,1,語音特徵大類
深圳_南山,韻母,3,語音特徵大類
深圳_坪山,韻母,1,語音特徵大類
深圳_宝安,韻母,1,語音特徵大類
深圳_盐田,韻母,1,語音特徵大類
深圳_福田,韻母,1,語音特徵大類
深圳_罗湖,韻母,1,語音特徵大類
深圳_龙华,韻母,1,語音特徵大類
深圳_龙岗,韻母,1,語音特徵大類
清远_佛冈,非語音特徵,1,語音特徵大類
清远_清,聲母,1,語音特徵大類
清远_清,聲調,18,語音特徵大類
清远_清,非語音特徵,12,語音特徵大類
清远_清,韻母,3,語音特徵大類
清远_清城,聲母,1,語音特徵大類
清远_清城,聲調,18,語音特徵大類
清远_清城,非語音特徵,12,語音特徵大類
清远_清城,韻母,2,語音特徵大類
清远_英德,非語音特徵,1,語音特徵大類
清远_连南瑶族,非語音特徵,1,語音特徵大類
清远_连山壮族瑶族,非語音特徵,1,語音特徵大類
清远_连州,非語音特徵,4,語音特徵大類
清远_阳山,非語音特徵,1,語音特徵大類
湛江_吴川,聲母,3,語音特徵大類
湛江_吴川,聲調,1,語音特徵大類
湛江_吴川,非語音特徵,5,語音特徵大類
湛江_吴川,韻母,5,語音特徵大類
湛江_廉江,聲母,3,語音特徵大類
湛江_廉江,聲調,1,語音特徵大類
湛江_廉江,非語音特徵,15,語音特徵大類
湛江_廉江,韻母,5,語音特徵大類
湛江_徐闻,非語音特徵,21,語音特徵大類
湛江_遂溪,非語音特徵,13,語音特徵大類
湛江_雷州,非語音特徵,19,語音特徵大類
潮州_湘桥,聲母,1,語音特徵大類
潮州_湘桥,非語音特徵,12,語音特徵大類
潮州_湘桥,韻母,19,語音特徵大類
潮州_潮安,聲母,1,語音特徵大類
潮州_潮安,非語音特徵,12,語音特徵大類
潮州_潮安,韻母,19,語音特徵大類
潮州_饶平,聲母,1,語音特徵大類
潮州_饶平,非語音特徵,12,語音特徵大類
潮州_饶平,韻母,19,語音特徵大類
珠海_斗门,聲母,2,語音特徵大類
珠海_斗门,非語音特徵,2,語音特徵大類
珠海_金湾,聲母,2,語音特徵大類
珠海_金湾,非語音特徵,2,語音特徵大類
珠海_香洲,聲母,2,語音特徵大類
珠海_香洲,非語音特徵,2,語音特徵大類
肇庆_四会,非語音特徵,2,語音特徵大類
肇庆_四会,韻母,2,語音特徵大類
肇庆_封开,聲母,4,語音特徵大類
肇庆_封开,聲調,17,語音特徵大類
肇庆_封开,非語音特徵,19,語音特徵大類
肇庆_封开,韻母,8,語音特徵大類
肇庆_广宁,非語音特徵,2,語音特徵大類
肇庆_德庆,聲母,6,語音特徵大類
肇庆_德庆,聲調,18,語音特徵大類
肇庆_德庆,非語音特徵,22,語音特徵大類
肇庆_德庆,韻母,13,語音特徵大類
肇庆_怀集,非語音特徵,2,語音特徵大類
肇庆_端州,非語音特徵,2,語音特徵大類
肇庆_高要,非語音特徵,2,語音特徵大類
肇庆_高要,韻母,1,語音特徵大類
肇庆_鼎湖,非語音特徵,2,語音特徵大類
茂名_信宜,聲母,8,語音特徵大類
茂名_信宜,聲調,3,語音特徵大類
茂名_信宜,非語音特徵,14,語音特徵大類
茂名_信宜,韻母,15,語音特徵大類
茂名_化州,聲母,6,語音特徵大類
茂名_化州,聲調,2,語音特徵大類
茂名_化州,非語音特徵,11,語音特徵大類
茂名_化州,韻母,10,語音特徵大類
茂名_电白,聲母,6,語音特徵大類
茂名_电白,聲調,2,語音特徵大類
茂名_电白,非語音特徵,14,語音特徵大類
茂名_电白,韻母,10,語音特徵大類
茂名_茂南,聲母,5,語音特徵大類
茂名_茂南,聲調,2,語音特徵大類
茂名_茂南,非語音特徵,9,語音特徵大類
茂名_茂南,韻母,10,語音特徵大類
茂名_高州,聲母,8,語音特徵大類
茂名_高州,聲調,3,語音特徵大類
茂名_高州,非語音特徵,12,語音特徵大類
茂名_高州,韻母,15,語音特徵大類
阳江_江城,聲母,1,語音特徵大類
阳江_江城,聲調,4,語音特徵大類
阳江_江城,非語音特徵,7,語音特徵大類
阳江_江城,韻母,3,語音特徵大類
阳江_阳东,非語音特徵,3,語音特徵大類
阳江_阳春,非語音特徵,3,語音特徵大類
阳江_阳春,韻母,2,語音特徵大類
阳江_阳西,非語音特徵,4,語音特徵大類
韶关_乐昌,非語音特徵,4,語音特徵大類
韶关_乳源瑶族,非語音特徵,4,語音特徵大類
韶关_仁化,非語音特徵,4,語音特徵大類
韶关_南雄,非語音特徵,5,語音特徵大類
韶关_始兴,非語音特徵,4,語音特徵大類
韶关_新丰,非語音特徵,7,語音特徵大類
韶关_曲江,非語音特徵,4,語音特徵大類
韶关_武江,非語音特徵,4,語音特徵大類
韶关_浈江,非語音特徵,4,語音特徵大類
韶关_翁源,非語音特徵,4,語音特徵大類
东莞_东莞,D01 平聲讀去 / 平聲類去,7,語音特徵小類及編碼
东莞_东莞,D04 上聲讀平,5,語音特徵小類及編碼
东莞_东莞,D06 上去互變,4,語音特徵小類及編碼
东莞_东莞,D09 入聲變讀,4,語音特徵小類及編碼
东莞_东莞,D12 調值高下描述,3,語音特徵小類及編碼
东莞_东莞,S01 輕唇讀重唇 / 重唇音保存,1,語音特徵小類及編碼
东莞_东莞,S02 日母字異讀,1,語音特徵小類及編碼
东莞_东莞,S05 清濁聲母差異或清濁標記,5,語音特徵小類及編碼
东莞_东莞,U01 孤立詞音/備查,37,語音特徵小類及編碼
东莞_东莞,Y01 蟹攝內部近讀,13,語音特徵小類及編碼
东莞_东莞,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
东莞_东莞,Y06 有厚近混 / 流攝內部近讀,3,語音特徵小類及編碼
东莞_东莞,Y07 文魂近讀 / 臻攝內部近讀,12,語音特徵小類及編碼
中山_中山,S02 日母字異讀,3,語音特徵小類及編碼
云浮_新兴,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
云浮_新兴,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
云浮_罗定,D04 上聲讀平,1,語音特徵小類及編碼
云浮_罗定,D12 調值高下描述,1,語音特徵小類及編碼
云浮_罗定,U01 孤立詞音/備查,1,語音特徵小類及編碼
云浮_罗定,Y01 蟹攝內部近讀,3,語音特徵小類及編碼
云浮_罗定,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
佛山_顺德,U01 孤立詞音/備查,10,語音特徵小類及編碼
佛山_顺德,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_从化,D04 上聲讀平,4,語音特徵小類及編碼
广州_从化,D12 調值高下描述,1,語音特徵小類及編碼
广州_从化,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_从化,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_从化,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_从化,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_从化,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_从化,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_南沙,D04 上聲讀平,4,語音特徵小類及編碼
广州_南沙,D12 調值高下描述,1,語音特徵小類及編碼
广州_南沙,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_南沙,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_南沙,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_南沙,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_南沙,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_南沙,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_增城,D04 上聲讀平,6,語音特徵小類及編碼
广州_增城,D06 上去互變,1,語音特徵小類及編碼
广州_增城,D12 調值高下描述,1,語音特徵小類及編碼
广州_增城,U01 孤立詞音/備查,28,語音特徵小類及編碼
广州_增城,Y01 蟹攝內部近讀,11,語音特徵小類及編碼
广州_增城,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_增城,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_增城,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
广州_增城,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
广州_天河,D04 上聲讀平,4,語音特徵小類及編碼
广州_天河,D12 調值高下描述,1,語音特徵小類及編碼
广州_天河,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_天河,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_天河,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_天河,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_天河,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_天河,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_海珠,D04 上聲讀平,4,語音特徵小類及編碼
广州_海珠,D12 調值高下描述,1,語音特徵小類及編碼
广州_海珠,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_海珠,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_海珠,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_海珠,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_海珠,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_海珠,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_番禺,D04 上聲讀平,4,語音特徵小類及編碼
广州_番禺,D12 調值高下描述,1,語音特徵小類及編碼
广州_番禺,S02 日母字異讀,2,語音特徵小類及編碼
广州_番禺,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_番禺,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_番禺,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_番禺,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_番禺,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_番禺,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_白云,D04 上聲讀平,4,語音特徵小類及編碼
广州_白云,D12 調值高下描述,1,語音特徵小類及編碼
广州_白云,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_白云,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_白云,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_白云,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_白云,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_白云,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_花都,D04 上聲讀平,4,語音特徵小類及編碼
广州_花都,D12 調值高下描述,1,語音特徵小類及編碼
广州_花都,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_花都,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_花都,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_花都,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_花都,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_花都,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_荔湾,D04 上聲讀平,4,語音特徵小類及編碼
广州_荔湾,D12 調值高下描述,1,語音特徵小類及編碼
广州_荔湾,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_荔湾,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_荔湾,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_荔湾,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_荔湾,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_荔湾,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
广州_越秀,D04 上聲讀平,10,語音特徵小類及編碼
广州_越秀,D06 上去互變,14,語音特徵小類及編碼
广州_越秀,D09 入聲變讀,2,語音特徵小類及編碼
广州_越秀,D12 調值高下描述,2,語音特徵小類及編碼
广州_越秀,S01 輕唇讀重唇 / 重唇音保存,4,語音特徵小類及編碼
广州_越秀,S05 清濁聲母差異或清濁標記,1,語音特徵小類及編碼
广州_越秀,U01 孤立詞音/備查,73,語音特徵小類及編碼
广州_越秀,Y01 蟹攝內部近讀,24,語音特徵小類及編碼
广州_越秀,Y03 遇止近讀 / 魚虞支微相通,6,語音特徵小類及編碼
广州_越秀,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_越秀,Y06 有厚近混 / 流攝內部近讀,8,語音特徵小類及編碼
广州_越秀,Y07 文魂近讀 / 臻攝內部近讀,8,語音特徵小類及編碼
广州_越秀,Y11 入聲韻近讀,1,語音特徵小類及編碼
广州_黄埔,D04 上聲讀平,4,語音特徵小類及編碼
广州_黄埔,D12 調值高下描述,1,語音特徵小類及編碼
广州_黄埔,U01 孤立詞音/備查,17,語音特徵小類及編碼
广州_黄埔,Y01 蟹攝內部近讀,9,語音特徵小類及編碼
广州_黄埔,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
广州_黄埔,Y05 效攝與遇攝近讀,7,語音特徵小類及編碼
广州_黄埔,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
广州_黄埔,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
惠州_博罗,Y01 蟹攝內部近讀,2,語音特徵小類及編碼
惠州_博罗,Y02 庚陽近混 / 梗宕近讀,2,語音特徵小類及編碼
惠州_惠东,Y01 蟹攝內部近讀,2,語音特徵小類及編碼
惠州_惠东,Y02 庚陽近混 / 梗宕近讀,2,語音特徵小類及編碼
惠州_惠城,Y01 蟹攝內部近讀,2,語音特徵小類及編碼
惠州_惠城,Y02 庚陽近混 / 梗宕近讀,2,語音特徵小類及編碼
惠州_惠阳,U01 孤立詞音/備查,1,語音特徵小類及編碼
惠州_惠阳,Y01 蟹攝內部近讀,5,語音特徵小類及編碼
惠州_惠阳,Y02 庚陽近混 / 梗宕近讀,3,語音特徵小類及編碼
惠州_惠阳,Y06 有厚近混 / 流攝內部近讀,1,語音特徵小類及編碼
惠州_惠阳,Y07 文魂近讀 / 臻攝內部近讀,5,語音特徵小類及編碼
惠州_龙门,Y01 蟹攝內部近讀,2,語音特徵小類及編碼
惠州_龙门,Y02 庚陽近混 / 梗宕近讀,2,語音特徵小類及編碼
揭阳_惠来,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
揭阳_惠来,U01 孤立詞音/備查,7,語音特徵小類及編碼
揭阳_惠来,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
揭阳_惠来,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
揭阳_惠来,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
揭阳_揭东,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
揭阳_揭东,U01 孤立詞音/備查,22,語音特徵小類及編碼
揭阳_揭东,Y01 蟹攝內部近讀,20,語音特徵小類及編碼
揭阳_揭东,Y06 有厚近混 / 流攝內部近讀,12,語音特徵小類及編碼
揭阳_揭东,Y07 文魂近讀 / 臻攝內部近讀,3,語音特徵小類及編碼
揭阳_揭东,Y12 其他韻母異讀,1,語音特徵小類及編碼
揭阳_揭西,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
揭阳_揭西,U01 孤立詞音/備查,22,語音特徵小類及編碼
揭阳_揭西,Y01 蟹攝內部近讀,20,語音特徵小類及編碼
揭阳_揭西,Y06 有厚近混 / 流攝內部近讀,12,語音特徵小類及編碼
揭阳_揭西,Y07 文魂近讀 / 臻攝內部近讀,3,語音特徵小類及編碼
揭阳_揭西,Y12 其他韻母異讀,1,語音特徵小類及編碼
揭阳_普宁,D04 上聲讀平,2,語音特徵小類及編碼
揭阳_普宁,D06 上去互變,3,語音特徵小類及編碼
揭阳_普宁,D12 調值高下描述,5,語音特徵小類及編碼
揭阳_普宁,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
揭阳_普宁,U01 孤立詞音/備查,42,語音特徵小類及編碼
揭阳_普宁,Y01 蟹攝內部近讀,18,語音特徵小類及編碼
揭阳_普宁,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
揭阳_普宁,Y06 有厚近混 / 流攝內部近讀,12,語音特徵小類及編碼
揭阳_普宁,Y07 文魂近讀 / 臻攝內部近讀,8,語音特徵小類及編碼
揭阳_普宁,Y11 入聲韻近讀,1,語音特徵小類及編碼
揭阳_榕城,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
揭阳_榕城,U01 孤立詞音/備查,7,語音特徵小類及編碼
揭阳_榕城,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
揭阳_榕城,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
揭阳_榕城,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
梅州_丰顺,D04 上聲讀平,1,語音特徵小類及編碼
梅州_丰顺,D06 上去互變,8,語音特徵小類及編碼
梅州_丰顺,D09 入聲變讀,1,語音特徵小類及編碼
梅州_丰顺,D12 調值高下描述,10,語音特徵小類及編碼
梅州_丰顺,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
梅州_丰顺,U01 孤立詞音/備查,25,語音特徵小類及編碼
梅州_丰顺,Y01 蟹攝內部近讀,8,語音特徵小類及編碼
梅州_丰顺,Y03 遇止近讀 / 魚虞支微相通,2,語音特徵小類及編碼
梅州_丰顺,Y06 有厚近混 / 流攝內部近讀,8,語音特徵小類及編碼
梅州_丰顺,Y07 文魂近讀 / 臻攝內部近讀,8,語音特徵小類及編碼
梅州_丰顺,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_丰顺,Y12 其他韻母異讀,5,語音特徵小類及編碼
梅州_五华,D04 上聲讀平,1,語音特徵小類及編碼
梅州_五华,D06 上去互變,8,語音特徵小類及編碼
梅州_五华,D09 入聲變讀,1,語音特徵小類及編碼
梅州_五华,D12 調值高下描述,9,語音特徵小類及編碼
梅州_五华,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
梅州_五华,U01 孤立詞音/備查,24,語音特徵小類及編碼
梅州_五华,Y01 蟹攝內部近讀,6,語音特徵小類及編碼
梅州_五华,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
梅州_五华,Y06 有厚近混 / 流攝內部近讀,7,語音特徵小類及編碼
梅州_五华,Y07 文魂近讀 / 臻攝內部近讀,7,語音特徵小類及編碼
梅州_五华,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_五华,Y12 其他韻母異讀,3,語音特徵小類及編碼
梅州_兴宁,D04 上聲讀平,2,語音特徵小類及編碼
梅州_兴宁,D06 上去互變,8,語音特徵小類及編碼
梅州_兴宁,D09 入聲變讀,1,語音特徵小類及編碼
梅州_兴宁,D12 調值高下描述,9,語音特徵小類及編碼
梅州_兴宁,S03 疑母、影母、云母、匣母相關混讀,4,語音特徵小類及編碼
梅州_兴宁,U01 孤立詞音/備查,34,語音特徵小類及編碼
梅州_兴宁,Y01 蟹攝內部近讀,10,語音特徵小類及編碼
梅州_兴宁,Y02 庚陽近混 / 梗宕近讀,1,語音特徵小類及編碼
梅州_兴宁,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
梅州_兴宁,Y06 有厚近混 / 流攝內部近讀,9,語音特徵小類及編碼
梅州_兴宁,Y07 文魂近讀 / 臻攝內部近讀,9,語音特徵小類及編碼
梅州_兴宁,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_兴宁,Y12 其他韻母異讀,12,語音特徵小類及編碼
梅州_大埔,D04 上聲讀平,21,語音特徵小類及編碼
梅州_大埔,D06 上去互變,31,語音特徵小類及編碼
梅州_大埔,D09 入聲變讀,12,語音特徵小類及編碼
梅州_大埔,D12 調值高下描述,39,語音特徵小類及編碼
梅州_大埔,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
梅州_大埔,U01 孤立詞音/備查,48,語音特徵小類及編碼
梅州_大埔,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
梅州_大埔,Y03 遇止近讀 / 魚虞支微相通,4,語音特徵小類及編碼
梅州_大埔,Y06 有厚近混 / 流攝內部近讀,10,語音特徵小類及編碼
梅州_大埔,Y07 文魂近讀 / 臻攝內部近讀,10,語音特徵小類及編碼
